# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_conformal_data.py.
n_value,g,Delta
6,1.95,5.106568216954526
6,2.0,5.124591890519976
6,2.05,5.141909263775413
6,2.1,5.158560685068011
6,2.15,5.174583515704104
6,2.2,5.190012398442611
6,2.25,5.204879497905619
6,2.3,5.2192147162181
6,2.35,5.233045886759911
6,2.4,5.2463989485436855
6,2.45,5.2592981034136566
6,2.5,5.271765957985341
6,2.55,5.2838236520083095
6,2.6,5.295490974628424
6,2.65,5.306786469847529
6,2.7,5.317727532323658
6,2.75,5.328330494520093
6,2.8,5.338610706094258
6,2.85,5.348582606315016
6,2.9,5.358259790207457
6,2.95,5.36765506904589
6,3.0,5.376780525747085
6,3.05,5.385647565655439
6,3.1,5.394266963158666
6,3.15,5.402648904525861
6,3.2,5.41080302731847
6,3.25,5.418738456688262
6,3.3,5.426463838844072
6,3.35,5.433987371940502
6,3.4,5.44131683461626
6,3.45,5.4484596123873414
6,3.5,5.455422722080047
6,3.55,5.462212834470927
6,3.6,5.468836295284736
6,3.65,5.475299144686835
6,3.7,5.481607135396256
6,3.75,5.48776574952493
6,3.8,5.493780214257082
6,3.85,5.499655516449593
6,3.9,5.505396416245315
6,3.95,5.511007459773864
6,4.0,5.516492991010568
7,0.0,3.0
7,0.01,3.0008996552157576
7,0.02,3.003594493770539
7,0.03,3.0080722111404046
7,0.04,3.0143125517477607
7,0.05,3.022287673673808
7,0.05,3.022287673673808
7,0.06,3.0319626340341066
7,0.07,3.043295972510458
7,0.08,3.056240367557344
7,0.09,3.0707433387681324
7,0.1,3.0867479696601716
7,0.1,3.0867479696601716
7,0.11,3.1041936274151998
7,0.12,3.123016659485466
7,0.13,3.1431510510052596
7,0.14,3.164529031215439
7,0.15,3.187081621264832
7,0.15,3.187081621264832
7,0.16,3.210739119536026
7,0.17,3.235431523887287
7,0.18,3.261088892826157
7,0.19,3.2876416496223655
7,0.2,3.3150208347668277
7,0.2,3.3150208347668277
7,0.21,3.3431583130594515
7,0.22,3.3719869420458437
7,0.23,3.401440708608555
7,0.24,3.431454840332878
7,0.25,3.4619658978798182
7,0.25,3.4619658978798182
7,0.3,3.6198574342654743
7,0.35,3.781550126315515
7,0.4,3.941060111731645
7,0.45,4.093837534748327
7,0.5,4.236965843607033
7,0.55,4.369105499002476
7,0.6,4.490146402167664
7,0.65,4.600729896297142
7,0.7,4.701833623580158
7,0.75,4.794505184517126
7,0.8,4.879729433806364
7,0.85,4.958379730996497
7,0.9,5.031211111526231
7,0.95,5.0988704385713115
7,1.0,5.161911421703339
7,1.05,5.220809483714769
7,1.1,5.2759747845036085
7,1.15,5.327763090113601
7,1.2,5.37648467084393
7,1.25,5.4224115443125696
7,1.3,5.465783376265639
7,1.35,5.506812307291547
7,1.4,5.545686922779952
7,1.45,5.58257553820657
7,1.5,5.617628934835534
7,1.55,5.650982651773488
7,1.6,5.6827589176698625
7,1.65,5.713068287864452
7,1.7,5.742011039260702
7,1.75,5.769678364715359
7,1.8,5.796153400561539
7,1.85,5.821512114476251
7,1.9,5.845824075852249
7,1.95,5.869153126826711
7,2.0,5.89155796892032
7,2.05,5.913092677671511
7,2.1,5.933807155575583
